layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Pro,7:du,8:ce,9: a,10: discharge,11:-,12:brief,13: style,14: summary,15: for,16: depression,"17:,",18: limited,19: to,20: demographic,21: and,22: prior,23: medical,24: history,25:.,26: Start,27: with,28::,"29: """,30:Gender,31::,"32: ""","33:
",34:<,35:|,36:ass,37:istant,38:|>,"39:
",40:Gender,41::
L1,-0.097873,-4.171513,-0.045786,0.000000,0.139046,0.078855,0.112741,0.078855,0.195819,0.243713,-2.494245,0.092548,0.453832,-0.359657,0.231953,-1.207760,-1.462156,0.064973,0.071938,-0.139872,0.231953,-0.234266,0.119382,-0.238991,-1.171008,0.092548,-0.122860,0.022130,-0.170357,0.195819,-0.297505,0.177251,-0.152823,0.125980,-0.015030,0.125980,-0.030290,0.000000,0.014808,-0.127086,0.043781,0.164678
L2,0.338455,0.112741,-0.007487,0.170984,-0.030290,0.057958,0.022130,-0.057567,0.057958,0.201933,-0.007487,0.050895,0.119382,0.029399,-2.328144,0.189668,0.071938,-0.135592,-0.179241,-0.472684,0.007431,-0.152823,0.064973,-0.045786,0.000000,-0.053625,-0.077517,-0.547189,-0.127086,0.106055,-0.030290,-0.118652,-0.053625,-0.007487,-0.322934,0.139046,0.007431,-0.038008,-0.053625,0.057958,-0.030290,-0.135592
L3,0.036616,0.125980,-0.081555,0.022130,0.145516,0.064973,0.050895,0.078855,-0.317796,0.278186,-0.414574,0.057958,-3.275300,-1.546045,-0.282552,-1.717446,0.145516,0.014808,0.064973,-0.354328,0.354281,0.208010,0.057958,0.220053,-0.460789,0.294986,0.022130,-0.354328,-0.282552,0.057958,0.036616,0.272522,-1.046746,-0.007487,-0.118652,-0.022631,0.139046,0.007431,0.036616,-0.007487,-0.089681,0.139046
L4,0.050895,0.022130,-0.238991,-0.030290,-0.030290,0.099324,0.071938,-0.065499,-0.322934,-0.553656,0.311509,0.064973,-0.414574,0.243713,0.333124,0.139046,-1.258963,-0.152823,0.183479,0.327764,-0.836727,0.085725,0.195819,0.078855,0.261098,0.243713,0.029399,-0.022631,0.014808,0.085725,-1.446190,-0.730624,-1.341047,-0.101994,-0.057567,-0.015030,0.092548,0.078855,0.106055,-0.420236,-0.770112,0.522487
L5,0.071938,0.099324,-0.437415,-0.061525,-0.243738,0.078855,0.007431,0.057958,-0.077517,-0.045786,-0.328098,0.085725,0.231953,-0.375818,-0.148487,-0.262957,-2.328144,-1.258963,0.043781,-1.183109,-1.220317,0.014808,0.064973,0.158331,0.243713,0.164678,0.050895,0.125980,-0.496908,0.112741,-0.431656,0.043781,-1.285583,-0.586633,-0.101994,-0.022631,-0.015030,-0.030290,-0.375818,-0.397780,0.548682,-2.219487
L6,-0.073495,0.057958,0.237850,0.057958,0.057958,0.170984,0.125980,0.064973,0.226021,0.415192,-0.049697,0.208010,0.085725,0.283817,0.654874,0.226021,-0.077517,0.201933,0.183479,0.615354,0.183479,0.092548,-0.049697,0.189668,0.195819,-0.157178,0.043781,0.085725,0.050895,0.092548,0.214049,0.261098,-0.049697,-0.560165,-0.197248,0.014808,-0.030290,0.000000,-0.302539,-1.057426,0.278186,-1.312930
L7,-0.197248,-0.188204,0.043781,-0.053625,0.099324,0.918964,0.085725,0.036616,-0.148487,-0.183712,-0.131330,-0.015030,-0.707659,-0.302539,-0.343753,-0.045786,-2.750255,-0.144170,-0.472684,0.453832,-1.036180,0.099324,-0.122860,0.119382,-1.183109,-0.179241,0.099324,0.214049,0.424993,0.064973,-0.926767,0.000000,-0.157178,-0.349026,-0.188204,0.057958,0.029399,-0.106133,-0.206375,-0.496908,0.029399,-0.081555
L8,0.099324,0.064973,0.112741,0.078855,0.112741,0.272522,0.092548,0.022130,0.007431,-0.122860,-0.081555,0.043781,-0.343753,0.099324,0.429858,-0.403347,0.029399,-0.547189,-0.007487,0.158331,-0.794576,-0.073495,-0.122860,0.164678,-0.746233,0.170984,0.112741,0.158331,0.261098,0.300524,0.354281,-0.131330,0.189668,-0.297505,-0.179241,0.036616,0.014808,-0.085610,-0.110288,-1.462156,-0.215586,0.504635
L9,-0.077517,-0.015030,0.214049,-0.057567,0.043781,0.132535,0.057958,-0.015030,-0.110288,-0.110288,0.050895,0.125980,0.099324,0.343758,-0.101994,-0.161552,-1.068221,0.231953,-0.093768,0.343758,-0.144170,0.057958,-0.015030,0.043781,0.294986,-0.414574,-0.007487,-0.053625,0.050895,0.151944,-0.030290,-0.490796,0.029399,-0.253301,-0.354328,0.007431,0.071938,-0.007487,0.170984,-0.057567,-0.152823,-0.053625
L10,0.043781,0.106055,0.085725,-0.030290,0.106055,-0.152823,0.036616,0.043781,0.029399,-0.061525,0.158331,0.057958,0.000000,-0.509243,-0.038008,-0.007487,0.552981,0.400309,0.036616,0.078855,-0.135592,0.237850,0.092548,-0.022631,0.151944,0.278186,0.029399,-0.022631,-0.127086,-0.045786,-0.085610,-0.403347,-0.007487,-0.061525,0.139046,-0.015030,0.007431,0.036616,-0.053625,-1.599979,-0.022631,-0.786354
